popular,109
latest,109
begun,109
basic,109
mortgag,109
plane,109
solut,109
anim,109
mile,108
rep,108
seat,108
equiti,108
basi,108
therapi,108
independ,107
fit,107
russia,107
coverag,107
startup,107
massiv,106
eventu,106
judg,106
extrem,106
workforc,106
draw,106
noth,105
multipl,105
furlough,105
featur,104
function,104
massachusett,104
gone,104
movement,104
detect,104
statewid,104
driver,104
swab,104
softwar,103
sp,103
athlet,103
surpris,102
dog,102
infrastructur,102
acceler,102
sold,102
ohio,102
lend,102
jame,102
factor,102
text,101
broader,101
stockpil,101
resum,101
german,101
downturn,101
worth,101
gave,101
respect,101
exercis,101
western,101
acut,101
israel,101
king,101
mitig,101
auto,100
window,100
scenario,100
larger,100
rush,100
admit,100
black,100
afternoon,100
thank,99
volum,99
tie,99
crozier,99
traffic,99
pathogen,99
bat,99
hurt,98
mind,98
brooklyn,98
mayb,98
behavior,98
capt,98
document,98
australia,98
tabl,97
zoom,97
version,97
bit,97
politician,97
french,97
depress,97
la,97
protest,97
round,97
promot,97
michael,97
tesla,97
agreement,96
fast,96
gm,96
conserv,96
olymp,96
nearbi,96
louisiana,96
suspect,96
medicar,96
repeat,96
mandat,96
port,96
bureau,96
divis,95
deep,95
crucial,95
viral,95
dramat,95
negoti,95
elig,95
scientif,95
commit,94
unless,94
assembl,94
meat,94
vehicl,94
celebr,94
pneumonia,94
appropri,94
congression,94
africa,94
huge,93
arm,93
collaps,93
fee,93
saudi,93
proper,92
personnel,92
truck,92
ultim,92
various,92
assess,92
precaut,92
complex,92
curv,92
privaci,92
sander,92
shelter,91
kept,91
queen,91
korean,91
netanyahu,91
provinc,91
mouth,91
trust,91
cbededdaccbcdeb,90
strateg,90
juli,90
resort,90
walmart,90
size,90
ticket,90
northern,90
phase,90
manhattan,89
choic,89
observ,89
appl,89
fallen,89
easter,89
adopt,89
transmit,89
anxieti,89
contagion,89
simpli,89
boe,89
intellig,89
migrant,89
ford,89
rural,89
diabet,89
plasma,89
minor,88
urgent,88
guest,88
trend,88
lay,88
campus,88
pharmaceut,88
imposs,88
degre,88
strict,88
instanc,88
submit,87
page,87
lock,87
presidenti,87
accus,87
artist,87
layoff,87
transfer,87
relax,87
deni,87
exact,87
realiz,86
panic,86
sought,86
copyright,86
replac,86
anticip,86
dri,86
ventur,86
stream,86
compil,86
search,85
output,85
circumst,85
internet,85
theater,85
prospect,85
va,85
specialist,85
trace,85
tap,85
altern,85
nba,85
evalu,85
correct,85
respir,84
realiti,84
leadership,84
outcom,84
built,84
none,84
brother,84
threaten,84
meant,84
scrambl,84
lombardi,84
flood,84
piec,83
pose,83
easi,83
detroit,83
mail,83
medicaid,83
tough,83
academ,83
gdp,83
motor,82
attorney,82
she,82
qualifi,82
net,82
photo,82
station,82
memori,82
easier,82
catch,82
tip,82
influenza,82
unabl,82
relationship,82
stem,82
fals,82
agent,82
explor,82
midmarch,81
alert,81
asymptomat,81
object,81
supermarket,81
roosevelt,81
graduat,81
calcul,81
fellow,81
nine,81
advertis,81
fan,81
shortterm,81
signal,81
wonder,80
pack,80
faster,80
woman,80
younger,80
workplac,80
payrol,80
environ,80
milan,80
xi,80
substanti,79
inventori,79
studio,79
collabor,79
acknowledg,79
subject,79
civil,79
speaker,79
priorit,79
britain,79
indian,79
vari,79
harm,79
foundat,79
shown,78
bag,78
harder,78
robert,78
pictur,78
selfisol,78
caught,78
centuri,78
construct,78
aircraft,78
music,78
met,78
mission,78
vital,78
weekday,78
fair,77
toilet,77
lesson,77
qualiti,77
boston,77
fulli,77
ballot,77
appoint,77
cope,77
mnuchin,77
ge,77
tournament,77
ten,76
shape,76
histor,76
religi,76
innov,76
sound,76
emot,76
road,76
meal,76
proceed,76
restart,76
capitol,76
card,75
intervent,75
logist,75
acquir,75
justic,75
penc,75
nonprofit,75
consequ,75
convent,75
fine,75
minimum,75
connecticut,75
suit,75
will,75
fuel,75
sharp,75
weather,75
yield,75
barrel,75
trigger,75
web,75
infectiousdiseas,75
chloroquin,75
protein,75
flatten,75
gown,74
desk,74
feed,74
intend,74
bought,74
protocol,74
suppos,74
laid,74
introduc,74
babi,74
neighborhood,74
tokyo,74
noon,74
match,73
oversea,73
effici,73
instagram,73
quit,73
enabl,73
regist,73
advantag,73
blasio,73
resist,73
imagin,73
fla,73
knew,73
basketbal,73
otherwis,73
illinoi,73
electr,73
yes,73
council,73
televis,73
princess,73
chronic,73
pennsylvania,73
el,73
joint,72
strike,72
constitut,72
remind,72
joe,72
cold,72
dc,72
fresh,72
beach,72
funer,72
arrang,72
twice,72
voic,72
convert,72
fallout,72
abbott,72
session,72
founder,71
grew,71
landlord,71
prefer,71
ride,71
path,71
weak,71
southern,71
land,71
flexibl,71
sharpli,71
fashion,71
pharmaci,71
commission,71
telemedicin,71
farm,71
pregnant,71
code,70
purpos,70
prohibit,70
movi,70
rescu,70
pelosi,70
statist,70
engag,70
competit,70
consist,70
vacat,70
virginia,70
smallbusi,70
assum,70
taiwan,70
defer,70
san,70
anthoni,70
cooper,70
hygien,70
stabil,70
unknown,70
obtain,70
gilead,70
ebola,70
exceed,69
regard,69
portfolio,69
stretch,69
select,69
refus,69
hardest,69
york,69
cultur,69
frustrat,69
advisori,69
scott,69
recogn,69
enrol,69
vast,69
squar,69
oblig,69
grappl,69
everybodi,69
tube,69
throat,69
compet,68
river,68
valley,68
listen,68
holiday,68
consider,68
plung,68
alleg,68
distress,68
capabl,68
remdesivir,68
disabl,68
harvard,68
mine,68
carolina,67
extent,67
definit,67
duti,67
rare,67
extraordinari,67
violat,67
expans,67
slight,67
cloud,67
surveil,67
subscrib,67
mix,67
administ,67
mrs,67
spoke,66
spike,66
simpl,66
enjoy,66
club,66
gym,66
status,66
rememb,66
plagu,66
tariff,66
perman,66
diagnost,66
trader,66
shopper,66
steven,66
draft,66
donor,66
veteran,66
modern,65
chair,65
foot,65
ralli,65
stake,65
alarm,65
pleas,65
print,65
inperson,65
opposit,65
favor,65
cross,65
blue,65
weigh,65
llc,65
sort,65
shot,65
ii,65
colorado,65
guarante,65
devast,65
f,65
whatev,64
desper,64
grand,64
reveal,64
career,64
hill,64
curb,64
broadcast,64
england,64
jobless,64
cure,64
admiss,64
deadlin,64
mcconnel,64
confront,63
obvious,63
presenc,63
sharehold,63
newli,63
smith,63
william,63
brazil,63
extens,63
soar,63
teach,63
novemb,63
box,63
affair,63
globe,63
accur,63
chemic,63
contamin,63
win,62
coronavirusrel,62
ration,62
decemb,62
reliev,62
worsen,62
recal,62
fix,62
maryland,62
zero,62
attract,62
easili,62
staffer,62
heard,62
wrong,62
gradual,62
voluntari,62
healthnew,62
northwel,62
orlean,62
invok,61
structur,61
prior,61
bet,61
japanes,61
occup,61
slash,61
experiment,61
bigger,61
crude,61
conclud,61
finish,61
median,61
paycheck,61
canadian,60
truth,60
choos,60
burden,60
guid,60
md,60
rebound,60
